Russia,Ossetian
"Он работает столь же усердно, как и остальные.",He is as hardworking as any.
У него есть какие-нибудь достоинства?,Does she have any merit?
Её слова оказались правдой.,Her words turned out to be true.
Её синие туфли хорошо подходят к платью.,Her blue shoes go well with that dress.
Многих из нас не устраивает потребительский налог.,Many of us are hostile to the consumption tax.
"Если ты свободен, заходи навестить меня.","If you are free, come around to see me."
"Важно не то, сколько книг ты читаешь, а то, какие книги ты читаешь.","What is important is not how many books you read, but what books you read."
"Пойдём в театр пораньше, чтобы занять хорошие места.",Let's go to the theater early so that we can get good seats.
Он задал об этом вопрос.,He asked a question about it.
Как твоя новая работа?,How's your new job?
"Не знаю, как насчёт Гавайев, где слишком много японцев, но если вокруг будут хоть какие-то японцы, мне будет спокойнее. Так мне кажется.","I'm not sure about Hawaii, where there are also many Japanese, but I do find that having at least some Japanese around can be reassuring. That's how I feel."
Мы помогали ему в его работе.,We aided him in his business.
Я могу попросить вас сделать это ещё раз?,Could I ask you to do that again?
"Японцы, входя в дом, снимают обувь.",The Japanese take off their shoes when they enter a house.
Осень — лучшая пора для чтения.,Autumn is the best season for reading.
Он сам приготовил ужин.,He prepared supper by himself.
Япония со всех сторон окружена водой.,Japan is bounded by water on every side.
Никогда не ел ничего настолько вкусного.,I've never eaten anything as delicious as this.
"К сожалению, я попадаю как раз в утренний час пик.",Unfortunately I hit the morning rush hour.
Снег сохраняет молодые растения в уюте и тепле.,The snow keeps the young plants snug and warm.
Сколько работников подали прошение о переводе в другой отдел?,How many staff members filed to change departments?
"Ну, ты узнаешь о том, что там, когда перейдёшь. Если я самого начала тебе слишком много расскажу, то не будет так интересно.","Well, you'll find out that after you cross. If I give too much away right from the start it won't be so interesting."
Много часов она провалялась на пляже.,She idled away many hours on the beach.
Она вывела его из хмурого настроения.,She blandished him out of his black mood.
Её сердце было полно радости.,Her heart was full of joy.
Я не могу согласиться на твоё предложение.,I cannot agree to your proposal.
Я давно с ним никак не контактировал.,I haven't got in touch with him for a long time.
Он ворвался в комнату.,He burst into the room.
Зимой остров покрыт льдом и снегом.,The island is covered with ice and snow during the winter.
"Он действительно это сделал, случайно ли или намеренно.","It is true that he did it, whether by accident or by design."
"Она думает о том, чтобы записаться на пару курсов в кулинарной школе.",She's thinking of taking a couple of courses at a cooking school.
Дорога пыльная. Вчера не могло быть дождя.,The road is dusty. It cannot have rained yesterday.
"Его письмо было столь дружеским, что она была глубоко тронута и заплакала.",So friendly was his letter that she was deeply moved and began to cry.
Лошадь не двигалась с места.,The horse would not move.
Мне не очень нравится сыр.,I don't like cheese very much.
Я бы хотел зарезервировать столик на троих.,I'd like to reserve a table for three.
Её польстил этот комплимент.,She felt herself flattered by this compliment.
Его тело тряслось от гнева.,His body was shaking in anger.
Они относились к Джону как к своему лидеру.,They looked up to John as their leader.
"Он робок, и никогда не говорит первым. Ты должен заговорить с ним.","He's shy, and never speaks unless spoken to. You have to talk to him."
"Когда он пришёл на автобусную остановку, автобус уже скрылся из виду.","When he arrived at the bus stop, the bus was already out of sight."
Слава не всегда сопровождается успехом.,Fame is not always an accompaniment of success.
У меня много книг.,I have many books.
У меня много книг.,I have a lot of books.
Быть мужчинами — это наша задача.,It is up to us to be men.
"В США обычно для того, чтобы купить спиртное, нужно показать удостоверение личности.","In the U.S., you usually have to show identification in order to buy alcohol."
Сегодня наши искусственные спутники вращаются вокруг Земли.,Today our artificial satellites are revolving around the earth.
По какому праву вы приказываете мне это сделать?,By what authority do you order me to do this?
Я должен присматривать за кроликами.,I must look after the rabbits.
"Я не могу помочь тебе. По правде говоря, я сейчас очень занят.","I can't help you. As a matter of fact, I'm very busy just now."
Актриса поприветствовала своих поклонников со сцены.,The actress greeted her fans from the stage.
Ты должен попробовать победить свою привычку к курению.,You should try to conquer your smoking habit.
Бог знает почему.,Heaven knows why.
Сегодня мы легко можем отправиться в далёкие страны на самолёте.,Today we can go to distant countries easily by plane.
Я могу позаимствовать этот зонтик?,Can I borrow this umbrella?
Она навязала мне эту работу.,She forced that task on me.
"""Кладбище домашних животных"" было настоящим саспенсом.","""Pet Sematary"" was a real cliff-hanger."
"Возьмите книгу, которую оставили на столе.",Take the book that has been left on the table.
"Держись за меня, пока не выберемся из толпы.",Stick with me until we get out of the crowd.
"Нужно отдать ему должное, он здравомыслящий человек.","To do him justice, he is a man of common sense."
"Нужно отдать ему должное, он здравомыслящий человек.","To be fair, he is a sensible person."
Внезапно весь свет погас.,"Suddenly, all the lights went out."
Наши длинные каникулы слишком быстро кончились.,Our long vacation has passed all too soon.
"Извините, но я не могу на него положиться.",I'm sorry I can't swear by him.
Я хочу посмотреть на город Акируно.,I want to see the sights in Akiruno city.
Ты должен остаться на лечение в больнице.,You should stay in the hospital for treatment.
Утром она учила английский.,She studied English in the morning.
Я доберусь до подножия холма до зари.,I will get to the foot of the hill before dawn.
"Я почувствовал, как что-то коснулось моей ноги.",I felt something touch my foot.
"В море столько же хорошей рыбы, как всегда.",There are as good fish in the sea as ever came out of it.
Руководитель исследований заставил отдел тщательно протестировать новый продукт.,The research director had the department do a thorough job in testing the new product.
Он доволен своей работой.,He is pleased with his work.
Ему лишь доставляет удовольствие получать совет от женщины.,He is only too pleased to be advised by a woman.
"Эта книга для студентов, чей родной язык не японский.",This book is for students whose native language is not Japanese.
"Я могу и остаться один, и составить ему компанию.",I may as well stay alone as keep him company.
Маюко вышла из комнаты.,Mayuko came out of the room.
"Я умею плавать не лучше, чем рыба ходить.",I can no more swim than a fish can walk.
Бананы — вид фруктов.,Bananas are a kind of fruit.
Он появился часом позже.,He turned up an hour later.
"""Экзамен состоится в этот же день на следующей неделе"", — сказал учитель.","""The examination will be held this day next week,"" said the teacher."
Удачи тебе на твоих соревнованиях.,Best of luck in your tournament.
У этого лекарства нет побочных эффектов.,This medicine has no side effects.
У этого лекарства нет побочных эффектов.,This medicine does not have side effects.
Мы поставили её присматривать за пациентом.,We got her to attend to the patient.
"Когда из пещеры выскочила большая обезьяна, они испугались и убежали.","When a big ape emerged from the cave, they got frightened and ran away."
"Мягкая шерсть дороже грубой, но и то, и другое лучше синтетики, производимой из нейлона.",Soft wool is more expensive than coarse wool and both are superior to synthetics made of nylon.
"Я решил попробовать это, исходя из того, что следует попробовать всё. Однако совладать с этой программой оказалось задачей не по моим силам.",I gave it a try figuring that anything is worth a try. But putting together a program like this is something I'm no match for.
Из ресторана можно видеть весь парк.,You can see the whole park from the restaurant.
"На твоём месте, я бы подождал и посмотрел.","If I were you, I would wait and see."
Я знаю этого господина.,I know the gentleman.
У меня в пальто дырка.,There's a hole in my coat.
Этот рассказ мне скучен.,This novel bores me.
Мистер Смит выдал свою дочь замуж за доктора.,Mr Smith married his daughter to a doctor.
Завтра они собираются запустить искусственный спутник.,They are going to launch an artificial satellite tomorrow.
"В основе термодинамики лежит движение атомов и молекул, а также законы движения, с которыми познакомились в первом томе.",Behind thermodynamics lie the movements of atoms and molecules following the laws of motion learned in the first volume.
Мы убирались в комнате по очереди.,We alternated in cleaning the room.
"Раньше или позже, нам придётся взяться за проблему всерьёз.","Sooner or later, we'll have to tackle the problem in earnest."
Она не пустит его в свою квартиру.,She would not admit him into her apartment.
Он ни на чём не задерживает внимание.,"Whatever he takes up, he gets soon tired of it."
"Чтобы получить от компании техническую информацию, нам сначала нужно подписать соглашение о неразглашении.","To get technical information from that company, we first have to sign a non-disclosure agreement."
Теперь все экзамены позади.,All the exams are now behind us.
Я бегу.,I run.
"Они спорили о том, какой язык проще: французский или немецкий.","They quarreled as to which was easier, French or German."
Он станет хорошим мужем для моей сестры.,He will make my sister a good husband.
Она любит делать фотографии.,She's fond of taking pictures.
Ему удалось добраться туда вовремя.,He managed to get there in time.
"Надеюсь, что я её увижу.",I hope that I'll see her.
Известие о её смерти пришло как гром среди ясного неба.,The news of her death came as a bolt from the blue.
Он настоящий эгоист.,He's really selfish.
"Мой отец может вести себя как сущий ребёнок, но у него благие намерения.","My father can be terribly childish, but he means well."
Эти данные совершенно неверны.,This data isn't accurate at all.
"Э, вы меня извините?","Uh, will you excuse me?"
Гора была покрыта снегом.,The mountain was covered with snow.
Эта теория верна для Японии.,This theory is true of Japan.
"Ты, должно быть, шутишь.",You have to be joking.
Извиняться всегда нужно лично.,You should always apologize in person.
На концерте было много слушателей.,There was a large audience at the concert.
Многим нравятся детективы.,Mystery novels are loved by a lot of people.
"Она берёт уроки пения и танцев, не говоря об уроках плавания и тенниса.","She takes singing and dancing lessons, not to mention swimming and tennis lessons."
Они в классе.,They are in class.
Он заполучил мяч.,He got the ball.
Позвольте мне забрать ваш багаж.,Let me relieve you of your baggage.
Она шла очень осторожно.,She walked very carefully.
Он отобрал у меня всё до последнего пенни.,He robbed me of every penny I had.
Дай мне свой телефонный номер.,Give me your telephone number.
В этом словаре содержится много информации.,This dictionary contains a lot of information.
"То, что он хочет съездить в Египет, — это факт.",It is fact that he wants to visit Egypt.
Я никогда ничего не делаю наполовину.,I'll never do anything by halves.
"Если с текстовым процессором что-то случится, мы гарантируем, что заменим его бесплатно.","Should the word processor go wrong, we guarantee to replace it free of charge."
"То, что он сделал потом, было для меня полной неожиданностью.",What he did next was quite a surprise to me.
Я не могу курить.,I can't smoke.
В нашем классе сорок учеников.,There are forty students in our class.
Биде не получило широкого распространения за пределами Японии.,The bidet-toilet itself has not spread much outside of Japan.
"А теперь, прежде чем я скажу что-то ещё, послушайте это:","Now, before I say any more, listen to this;"
Он никогда не забывает писать родителям раз в месяц.,He never fails to write to his parents once a month.
Я собираюсь прилечь на минутку.,I'm going to lie down for a minute.
"Нет, не думаю, что я виноват.","No, I don't think that I am to blame."
"Я постарался забыть о том, что она плакала.",I tried to forget that she had cried.
Давайте устроим побудку по телефону в семь утра.,Let's arrange for a 7:00 a.m. wake-up call.
Главная причина его неудачи — лень.,The primary cause of his failure is laziness.
Он хорошо может говорить по-французски.,He can speak French well.
У вас было хорошее лето?,Did you have a nice summer?
"После того, как он сменил работу, его доход упал.",His income has been reduced after he changed his job.
Это тупик.,It's a dead end.
Много лет Индией управляла Великобритания.,India was governed by Great Britain for many years.
Электрический свет потух.,The electric light went out.
"Ребёнок говорит так, как будто он взрослый мужчина.",The child talks as if he were a man.
Не будь таким замкнутым.,Don't be so reserved.
Убираться в классной комнате — обязанность учеников.,It is the students' duty to clean their classrooms.
У меня было не больше тысячи иен.,"I had no more than 1,000 yen."
Ты знаешь хотя бы одну из двух девушек?,Do you know either of the two girls?
Я не имел к происшествию никакого отношения.,I had nothing to do with the accident.
Я получил 80 баллов из максимальных 100.,I got 80 marks out of a maximum of 100.
Линия Токайдо заканчивается в Токио.,The Tokaido line terminates at Tokyo.
Он ударил ладонью.,He gave a blow with the flat of his hand.
Мой брат очень высокий.,My brother is very tall.
Девочка носила в волосах жёлтые ленты.,The girl wore yellow ribbons in her hair.
Как этот суп на вкус?,How does this soup taste?
Ты очень красивая.,You are very beautiful.
Ты очень красивая.,You're very beautiful.
В английском языке глагол предшествует дополнению.,In English the verb precedes the object.
Он попросил прощения за сделанную ошибку.,He asked our pardon for making a mistake.
Единственное в чём не нужно умение — это аппетит.,The only thing that doesn't require skill is an appetite.
Первое в некоторых отношениях уступает второму.,The former is inferior to the latter in some respect.
Он не работал в воскресенье ночью.,He did not work on Sunday night.
Где аэропорт?,Where's the airport?
Это очень вкусно.,It tastes very good.
Это очень вкусно.,It tastes very great.
Это очень вкусно.,This is really delicious.
Я был глубоко тронут его историей.,I was very moved by his story.
В этом районе нередки тайфуны.,Typhoons are frequent in this region.
Мне легко ладить с Джимми.,Jimmy is easy for me to get along with.
"Вы можете подсказать мне, где находится первая классная комната?",Can you please tell me where the first class room is?
Мой отец каждый день пьёт по чашке кофе.,My father has a cup of coffee every day.
"Отцы, живущие в городах, каждый день проводят восемь часов в офисе и ещё два тратят на дорогу на работу и обратно утром и вечером в переполненных электричках.",Fathers in cities spend eight hours in the office and another two hours traveling to and from their work on trains full of people every morning and evening.
Позволь этим вечером заплатить мне.,Let me pay tonight.
Сьюзи печатает намного быстрее меня.,Susie can type many times as fast as I can.
Её сын звонил из Нью-Йорка.,Her son called from New York.
"Мы пошли на реку посмотреть, как цветёт сакура.",We went to see the cherry blossoms along the river.
Этим летом я набрала два килограмма.,I have put on two kilograms this summer.
Кейт испекла яблочный пирог.,Kate made an apple pie.
"Мы должны брать всё от каждой возможности, которая предоставляется нам в жизни.",We should make the most of every opportunity in our life.
Раненые были унесены с места происшествия.,The injured were removed from the scene.
Боль отдаёт в правую ногу.,The pain shoots into my right leg.
"Однако, Винс, на веранде дом Джен, был раздет выше пояса. А может, он был вообще голый!","However, Vince, on Jen's house's veranda, was naked from the waist up. He might even have been starkers!"
Вы знали его долгое время?,Have you known him for a long time?
"Он говорит, что является родственником этого богатого семейства.",He says he's related to that rich family.
"Я бы хотел, чтобы этим вечером вы были моим гостем.",I should like you to be my guest tonight.
"""Гиганты"" шли прямиком к своему поражению.",The Giants were well on the way to defeat.
Во время войны он служил в армии.,"During the war, he served in the army."
Мой отец заставил меня поменять покрышки на автомобиле.,My father had me change a tire on his car.
По комнате были разбросаны пустые банки.,Empty cans were scattered about the place.
Запоминать даты непросто.,It is not easy to commit dates to memory.
"Можешь покататься на велосипеде, если не идёт дождь.",You may go cycling if it doesn't rain.
"Террорист-самоубийца выстрелил в бывшего премьер-министра Беназир Бхутто, но промахнулся.","The suicide bomber fired towards former Prime Minister Benazir Bhutto, but missed."
Апрель — четвёртый месяц в году.,April is the fourth month of the year.
"С утра до вечера он не делает ничего, кроме как жалуется.",He does nothing but complain from morning till night.
Мы должны ограничиться в обсуждении только рассматриваемым вопросом.,We should confine the discussion to the question at issue.
Старик гнал кукурузный самогон пятьдесят лет.,That old man had been making moonshine for fifty years.
Был дождь и поэтому я взял такси.,I took a taxi because it was raining.
"Хорошо сделано лучше, чем хорошо сказано.",Well done is better than well said.
Ему было стыдно доставлять вам хлопоты.,He was ashamed of troubling you.
"Эта река течёт слишком быстро, чтобы в ней плавать.",This river flows too fast to swim in.
Я усердно работаю в саду.,I work hard in the garden.
Я был занят.,I have been busy.
Я был занят.,I was busy.
Я не хочу делать тебе предложение!,I don't want to propose to you!
Том рассердился на детей.,Tom got angry at the children.
Ты должен вставать в шесть.,You must get up at six.
Велосипед был изувечен в столкновении с грузовиком.,The bike was mangled in its collision with the truck.
Завтра будет ещё один день.,Tomorrow is another day.
Мне нужно перевестись?,Do I need to transfer?
"И Кен, и Мег — мои друзья.",Both Ken and Meg are my friends.
"Ну давай, не будь дураком.","Come on, don't be silly."
От богатства не становятся счастливее.,Man is none the happier for his wealth.
Талантливый доктор смог вылечить болезнь премьер-министра.,The clever doctor was able to cure the Prime Minister's illness.
Результаты исследования были весьма удовлетворительными.,The results of the research were quite satisfactory.
Мистер Уайт сделал несколько комментариев к моей речи.,Mr White made a few comments on my speech.
"Потому что человек, чьи манеры столь же плохи, как твои, должно быть, испытывает терпение окружающих.",Because a man whose manners are as bad as yours must try everyone's patience.
Он взбесился от ярости.,He broke out into rage.
На кухне кот.,There is a cat in the kitchen.
Пульс в теле пациента вновь начал биться.,In the patient's body the pulse began beating again.
Игра могла быть отложена на следующую неделю.,The game may have been put off till next week.
"Я не уверен, когда он придёт в следующий раз.",I am uncertain when he will come next.
Мы сели на автобус в Синдзюку.,We got on the bus at Shinjuku.
Утро вечера мудренее.,Sleep off the problem.
У меня на руках нет больших денег.,I do not have much money on hand.
"Мы должны предпринять необходимые меры, пока ещё не слишком поздно.",We should take the necessary steps before it's too late.
От плохих привычек трудно избавиться.,Bad habits die hard.
"Это слишком хорошая возможность, чтобы её упускать.",This is too good a chance to miss.
"Это те самые часы, которые я потерял.",This is the same watch that I've lost.
Мальчик был награждён за примерное поведение.,The boy was awarded a prize for good conduct.
Она для меня не незнакомка.,She is no stranger to me.
Я её знаю.,She is no stranger to me.
Том допустил на тесте несколько ошибок.,Tom made some mistakes on the test.
Поезда отходят с интервалом в два часа.,The trains leave at two-hour intervals.
Скоро он снова сможет играть в бейсбол.,It won't be long before he can play baseball again.
Его высокий доход позволяет ему каждый год ездить за границу.,His large income enables him to travel abroad every year.
Не будь таким назойливым.,Don't be a busybody.
"Он написал рассказ, основанный на древних мифах.",He wrote a novel based on ancient myths.
В кризисные моменты ты должен держать себя в руках.,In a crisis you must keep your head.
Какой превосходный удар!,What a great strike!
"Он то, что вы бы назвали книжным червём.",He is what you might call a bookworm.
Я встретил его по пути в школу.,I met him on my way to school.
Это положение привнесло необходимость перемен.,The statement imported that changes were necessary.
У меня на ноге колики.,I have leg cramps.
Колонна наклонилась направо и упала.,The pillar tilted to the right and fell.
"Они преследовали человека, чтобы арестовать его.",They chased the man to arrest him.
"Нам сложно выбрать, который из них купить.",We find it difficult to decide which one to buy.
Энн очень любит шоколад.,Ann likes chocolate very much.
Я износил туфли.,I've worn out the shoes.
Управление компании предложило профсоюзу пятипроцентное увеличение зарплат.,The management of a company offered a 5% pay increase to the union.
"Он ходит в библиотеку, чтобы читать книги.",He goes to the library to read books.
Мои дети — моё сокровище.,My children are my treasures.
У нас сегодня нет школы.,We have no school today.
Давай закончим поскорее.,Let's finish up in a hurry.
Вы можете продать мне книгу за пятьсот иен?,Can you sell the book to me for 500 yen?
Они в основном экспортировали чай в Европу.,They exported tea mainly to Europe.
На твоём месте я бы последовал его совету.,"If I were you, I'd follow his advice."
Мой отец вернулся из Осаки на прошлой неделе.,My father came back from Osaka last week.
"В последнее время старшеклассницы используют сотовые телефоны, чтобы обмениваться электронными сообщениями.",Lately high school girls are using their cell phones to exchange e-mail.
Родители должны предоставлять детям хорошее питание и одежду.,Parents must provide their children with proper food and clothing.
Ей не нравится пользоваться кисточкой для письма.,She doesn't like to use a writing brush.
"Если вам нужно больше информации, мы будем рады её вам переслать.","If you need more information, we are happy to send it."
Ты должен был тогда воспользоваться возможностью.,You should have taken a chance then.
"Они не сталкивались с такой проблемой и не знают, что делать.","Not having dealt with such a problem, they don't know what to do."
Мы все с нетерпением ждём наших каникул.,We are all impatient for our holiday.
"Я как раз собирался уходить, когда зазвонил телефон.",I was just about to go out when the phone rang.
Вместе мы никому и ничему не уступаем.,"United, we are equal to most anything."
"Я слышал, что в этом году латиноамериканская музыка штурмом взяла музыкальную индустрию.",I hear Latin music is taking the music industry by storm this year.
"Это было холодная и дождливая ночь, и на улицах не было ни души.","It was a cold and rainy night, and there was not a soul in sight in the streets."
У него есть хорошее дело против неё.,He has a good case against her.
Судья взыщет с него большой штраф?,Will the judge fine him heavily?
Что означает этот знак?,What does this sign say?
Что означает этот знак?,What does this mark mean?
"Ты сказал ей, что окончил работу три дня назад.",You told her that you had finished the work three days ago.
Она выглядела очень красиво в своём новом платье.,She looked very beautiful in her new dress.
На следующей неделе я должен поехать в Нью-Йорк.,I'm supposed to go to New York next week.
Это станет запоминающимся временем.,That'll make for a memorable time.
Его рассказы в большинстве своём очень скучные.,"His novels are, for the most part, very boring."
Ты дружишь с этими мальчиками?,Do you make friends with these boys?
Джим схватил Джули за руку.,Jim seized Julie by the arm.
Вы уже поели пирог?,Have you eaten the cake yet?
"Вообще-то, я об этих планах ничего не знаю.","Actually, I know nothing about these plans."
"Сколько дней обычно уходит на то, чтобы туда добраться?",How many days does it usually take to get there?
Я мужчина.,I am a man.
Я мужчина.,I'm a man.
Я человек.,I am a man.
Я игрок в теннис.,I am a tennis player.
Это — последний писк моды.,This is the latest fashion.
Его колледж гордится лучшим видом в городе.,His college boasts the finest view in the city.
Такой человек действует мне на нервы.,A man like that gets on my nerves.
Он держит несколько мышей для исследований.,He keeps some mice for the purpose of studying.
"Услышав новости, она чуть не спятила.",She almost went out of her senses at the news.
"Я поклялся, что никогда больше не буду с нею разговаривать.",I vowed that I would never speak to her again.
"Он не знает, как писать ни одну английскую букву.",He doesn't know how to write a letter in English.
Он не знает ни одной английской буквы.,He doesn't know how to write a letter in English.
Скоро стемнеет.,It will be dark soon.
Скоро стемнеет.,It will soon grow dark.
Скоро стемнеет.,It will soon be dark.
"Всё, что ты делаешь, — это придираешься. Я бы хотел, чтобы ты сказал что-то конструктивное.",All you ever do is nitpick. I wish you could say something more constructive.
"Я заговорил с ним по английски и обнаружил, что могу дать себя понять.",I spoke to him in English and found I could make myself understood.
"Только что пробило восемь, так?","It has just struck eight, hasn't it?"
Она всегда следит за садом.,She always keeps the garden.
На всякий случай держись за поручень.,Get hold of the rail just in case.
"Девочки не могли дождаться, чтобы показать нам, что вышили.",The girls couldn't wait to show off their fine needle work to us.
После стольких посещений мы бы хотели немного отдохнуть.,"After so many visits, we want to rest a little."
Больше никто не предложил помощь.,Nobody else offered to help.
Он благополучно добрался до места.,He arrived safely.
У тебя было полно времени.,You had plenty of time.
Для меня нереально закончить работу за день.,It is impossible for me to finish the work in a day.
"Девушка была достаточно любезна, чтобы показать мне дорогу до музея.",The girl was kind enough to show me the way to the museum.
Мой отец не всегда свободен по воскресеньям.,My father is not always free on Sunday.
"Ты мне покажешь, как поставить раскладную кровать?",Will you show me how to set up a cot?
"Она упала в обморок в магазине, а когда пришла в себя, обнаружила себя в комнате первой помощи.",She fainted in the store and found herself in the first aid room when she came to.
Мой учитель китайского языка — мужчина.,My Chinese teacher is a man.
"Тётя, это Том.","Aunt, this is Tom."
"Я не возражаю, чтобы мальчик читал книгу.",I have no objection to the boy reading a book.
Это неподходящая тема для дискуссии.,It's not a suitable topic for discussion.
Моя мать никогда не встаёт рано.,My mother never gets up early.
Кто открыл конверт?,Who has torn the envelope open?
Теперь я беспомощен.,I've become impotent.
Вдруг самолёт рухнул на землю.,The plane crashed suddenly.
Сигнал светофора сменился на красный.,The traffic light changed to red.
"Это та самая книга, которую я искал.",This is the very book I have been looking for.
Эти стеклянные изделия прибыли из Персии по Шёлковому пути.,Glasswork came from Persia by way of the Silk Road.
Он очень хочет преуспеть.,He is eager to succeed.
"К моему разочарованию, письмо не пришло.","To my disappointment, his letter didn't come."
"Я не хочу вспоминать. Я думаю, я спячу от гнева.",I don't want to remember. I feel I'll go mad through rage.
"Те, кто на меня кричат, меня не беспокоят.",The ones who shout at me don't bother me.
Я полагаюсь на твоё обещание.,I rest on your promise.
"Сначала я погашу огонь, и убегу в безопасное место.","I'll turn off the fire first, and run to a safe place."
Вы оставите сообщение?,Will you leave a message?
"Наш учитель сказал нам, что читать.",Our teacher told us what to read.
Они собрались вокруг камина.,They gathered about the fireplace.
"К лучшему это или худшему, но нам не остаётся ничего другого, кроме как оставить это дело ему.","For better or worse, we can't do anything but leave this matter up to him."
"Несмотря на всё его богатство, он несчастен.","For all his wealth, he is unhappy."
Эта просьба не является невыполнимой.,It's not an impossible request.
"Его идеи были слишком продвинуты, чтобы быть принятыми обычными людьми.",His ideas were too far advanced to be accepted by ordinary people.
Тогда ты можешь уплывать.,Then you can sail away.
Я не мог не быть раздражённым на тебя.,I couldn't but be irritated with you.
"Тебе нравится меня запутывать, да?","You always like to trip me up, don't you?"
Он оставлял книги по всему дому.,He left his books all around the house.
"Здесь так холодно, что мы не можем обойтись без пальто.",It's so cold here that we can't do without an overcoat.
Она вскоре будет здесь.,She will be here before long.
"Чтобы поделить это, нам придётся разорвать его надвое.","In order to share it, we'll have to tear it into two pieces."
Этот путь после дождя обычно в грязи.,That path is apt to be muddy after rain.
"Здесь не так холодно, как на Аляске.",It isn't as cold here as in Alaska.
"Они, должно быть, ошиблись.",They must have made a mistake.
Это правило не может быть применено к вам.,This rule cannot be applied to you.
"Мы ожидаем, что сегодня будет дождь.",We expect that it will rain today.
"Пожалуйста, сообщите мне о результате по телефону.",Please let me know the result by telephone.
Он поймал её руку.,He caught her hand.
Корея разрешила инспекцию специалистами МАГАТЭ.,Korea allowed an inspection by the IAEA.
Я очень благодарен вам за ваш совет.,I am very thankful to you for your advice.
Мост подломился из-за наводнения.,The bridge gave way because of the flood.
Перевести деньги и технологии с одного конца Земли на другой недостаточно.,Moving money and technology from one side of the globe to the other is not enough.
Какая-то фигура появилась вон оттуда.,A form appeared from over there.
Примерь этот свитер.,Try on this sweater.
В шутке сказано много правды.,There's many a true word spoken in jest.
Её мать прибудет поездом в 9:10.,Her mother is arriving by the 9:10 train.
Улицы наполнены атмосферой экзотики.,The streets are filled with an air of exoticism.
Что с ним стало с тех пор?,What has become of him since then?
Прямо сейчас вымой руки.,Wash your hands right now.
"Вместо того, чтобы опровергнуть тезис о связи расы и низкого IQ, данные Линна подтверждают его.","Far from refuting the thesis that race is to blame for lower IQ score, Lynn's data actually supports it."
Приходи как можно скорее.,Come as soon as possible.
Приходи как можно скорее.,Come as soon as you can.
"Когда взорвалась бомба, я оказался там.","When the bomb exploded, I happened to be there."
Двое встретились лицом к лицу.,Two men met face to face.
Мы его потревожили.,We disturbed him.
"Если ты сделаешь так, это будет иметь только противоположный эффект.","If you do that, it will only bring about a contrary effect."
Я не могу сделать ничего другого.,I can't do anything else.
Я отменил бронь в гостинице и остановился у друзей.,I canceled my hotel reservations and stayed with friends.
Я напрасно доверял такому типу.,I did wrong in trusting such a fellow.
Его неудача не представляет сомнений.,His failure is out of the question.
"Поскольку на этой дороге нет автобусов, нам придётся идти пешком.","Since there are no buses on this road, we will have to walk."
Он всё время пристаёт ко мне с просьбой одолжить ему денег.,He is always bothering me to lend him money.
