Чего ты смеёшься?	Цæуыл худыс?
Человек встречает соседей раньше рассвета.	Хурыскастæй лæг йæ сыхæгтыл тагъддæр сæмбæлы.
Батырбег говорит так…  	Батырбег афтæ фæзæгъы…
Батырбег зашел внутрь…	Батырбег бахызт мидæмæ…
Кто посидит, тому счастье…	Чи абада, уымæн хæлар…
 Завтра надо идти на работу.	Райсом мæ куыстмæ цæуын хъæуы.
Что ты сегодня делал, что случилось с тобой?	Абон цы кодтай, цы дыл æрцыди?
Мои друзья идут на работу, и мне надо их догнать.	Ме ‘мбæлттæ куыстмæ фæцæуынц, æмæ мæ уыдон баййафын хъæуы.
Вечером когда работу закончишь, зайдешь к нам.	Изæрæй куыстæй куы суæгъд уай, уæд махыл рацæудзынæ.
После завтра мне надо пойти в лес.	Иннæ бон мæ хъæумæ ныууайын хъæуы.
 С вечера до утра без перерыва шел снег.	Æхсæвæй бонмæ æнæрæнцайгæйæ мит фæуарыд.
Тебе идут твои туфли.	Дæ туфлитæ дыл хорз фидауынц.
 Кто в этом году идет в школу?	Ацы аз скъоламæ чи цæудзæн?
В этом году в школу пойдет Ацамаз.	Ацы аз скъоламæ Ацæмæз цæудзæн.
Что родители купили Ацамазу?	Ныййарджытæ цы балхæдтой Ацæмæзæн?
Родители купили Ацамазу портфель.	Ацæмæзæн ныййарджытæ балхæдтой пъартфел.
Насколько я понял, тебе сегодня на учебу не нужно?	Æз дæ куыд бамбæрстон, афтæмæй ды ахуырмæ цæуинаг нæ дæ?
Показывайте мне как вы сделали домашнюю работу.	Йæ хæдзармæ куыст чи куыд сæххæст кодта, уый ма мын фенын кæнут.
Как сильно ты запачкал рубашку!	Цæй тынг чъизи ныккодтай дæ хæдон!
Ты бы знал как мне был приятен твой взгляд!	Дæ фенд мын куыд æхсызгон уыди, уый куы зонис!
Как закончатся экзамены, так сразу поеду в горы.	Экзаментæ куыддæр фæуой, афтæ хохмæ цæудзынæн.
Уметь бы петь как нарт.	Рагон нæртон лæгау зарын куы зонин.
Где я работаю? - я работаю на заводе "Электроцинк".	Кæм кусын æз? – æз кусын «Электроцинчы» заводы.
Сколько лет нашему заводу?	Цал азы цæуы нæ заводыл?
Откуда нашему заводу поставляют сырье?	Нæ заводмæ хомаг кæцæй ласынц?
Сколько людей в моей бригаде работает?	Мæ бригадæйы цал адæймаджы кусы?
Кто-нибудь из них опаздывает на работу?	Уыдонæй куыстмæ исчи байрæджы кæны?
Где мое рабочее место?	Мæ кусæн бынат кæцыран у?
Мое рабочее место бывает чистым?	Мæ кусæн бынат сыгъдæг вæййы?
Семья Туаева Володи живет во Владикавказе.	Туаты Валодяйы бинонтæ цæрынц Дзæуджы-хъæуы.
Мои предки бежали с горы Даргавса.	Мæ фыдæлтæ хохы Дæргъæвсæй ралидзгæ сты.
Мой отец родился в Санибе, а мама в Гизели.	Мæ фыд райгуырд Санибайы хъæуы, мæ мад та – Джызæлы.
Мои родители переехали в город лет 15 назад.	Мæ ныййарджытæ горæтмæ æрбалыгъдысты иу фынддæс азы размæ.
Изатбег давно уже не живет с родителями.	Изæтбег рагæй нал цæры йæ ныййарджытимæ.
Года два назад Цомаевы купили трехкомнатную квартиру в девятиэтажке.	Иу дыууæ азы размæ Цомайты бинонтæ райстой ног æртæуатон фатер фарастуæладзыгон хæдзары.
Дрис тоже должен купить квартиру в этом году.	Дрис дæр ацы аз хъуамæ райса ног фатер.
Какие города есть в Осетии?	Цавæр горæттæ ис Ирыстоны?
Столицей чего является Владикавказ?	Дзæуджыхъæу кæй сæйраг горæт у?
Что есть во Владикавказе?	Дзæуджыхъæуы цытæ ис?
Как добираются до работы жители Владикавказа?	Цæуыл фæцæуынц горæтæгтæ сæ куыстмæ?
Откуда пришли Осетины?	Кæцæй ралыгъдысты ирæттæ?
Откуда пришли жители города?	Горæты цæрджытæ кæцæй æрбалыгъдысты?
Куда они пришли с леса?	Быдыры хъæутæй кæдæм æрбалыгъдысты?
Для кого стал Владикавказ общим домом?	Дзæуджыхъæу иумæйаг хæдзар кæмæн сси?
Что замыслил Всевышний?	Хуыцау цы сфæнд кодта?
Какими были уадмеры?	Цавæр адæм уыдысты уадмеритæ?
Почему уадмеры не строили дома?	Уадмеритæ цæй тыххæй нæ арæзтой хæдзæрттæ?
Почему потерялись великаны?	Уæйгуыты чи фесæфта?
