Как тебя зовут?	Дæ ном куыд хуыйны?
У неё деньги есть?	Ис ӕм хса?
У меня есть большие дома.	Мӕнмӕ ис дынджыр хӕдзӕртӕ.
Это от Тома.	Ай Томӕй у.
Верни мне мою бутылку.	Мæ авг мын фæстæмæ рат.
Ты очень хороший повар.	Ды дæ тынг хорз пъовыр.
Я всё равно поеду.	Ӕз уæддæр ацæудзынæн.
Иногда да, иногда нет.	Кæддæр о, кæддæр на.
Где ты был вчера вечером?	Кæм уыдтæ знон изæрæй?
Кто хочет сыграть в теннис?	Кæй фæнды теннисæй ахъазын?
Сколько языков ты знаешь?	Цал æвзаджы зоныс?
Держи обе руки на руле.	Дæ дыууæ къухы дæр арæзнæгыл дар.
Он его нашёл.	Уый йæ ссардта.
"Она о тебе спрашивала". - "Обо мне?"	"Дæу тыххæй фæрскæ кодта." - "Мыл тыххæй?"
Я тогда здесь не работал.	Ӕз ам уӕд кускӕ нӕ кодтон.
Тебе завтра ко скольки?	Райсом кӕдмӕ цӕуыс?
Ей нужен ключ.	Дӕгъал ӕй хъӕуы.
Она не была бедна.	Мӕгуыр нӕ уыди.
Ты собрала свой чемодан?	Дӕ чемӕдан сымбырд кодтай?
Яблоки красные или зелёные.	Фæткъуытæ сырх æви цъæх сты?
Что ты думаешь о войне?	Дæ мæт хæсты тыххæй цавæр у.
Том не умрёт.	Том нæ амæлдзæн.
Я не смог её найти.	Мæ бон æй ссарын нæу.
Они были дома?	Сæхимæ уыдысты?
Я работаю в Милане.	Ӕз Миланы кусын.
Скажи нам, зачем ты его убил.	Зæгъ ма нын, цæмæн йæ амардтай.
Гроб был пуст.	Марды чырын афтид уыди.
Том и Мэри танцевали вместе.	Том æмæ Мэри иумæ кафыдысты.
Кен звонит мне каждый день.	Кен мæм дзуры алы бон.
Вчера мы школой посетили картинную галерею Прадо.	Знон мах шкъолаимæ ацыдыстæм Прадо нывты галерейæмæ.
Я работаю днём.	Æз кусын бонæй.
Солдат исполнял приказ командира.	Салдат къамандиры приказ æхæст кодта.
Он одноразовый.	Уый у иу хатт раз.
Я хотел бы ей позвонить. У тебя есть её номер телефона?	Мæн фæндыди йæм бадзурын. Йæ номыр дæм ис?
Чили - это не Китай.	Чили - Китай нæу.
Ты знаешь, кто это.	Ды нæ зоныс чи у?
Я сидел у себя в комнате и занимался.	Ӕз мæ агъуысты бадтæн æмæ кускæ кодтон.
Я пока не знаю, что буду говорить.	Æз нӕ зонын цы загъзынӕн уый.
Том никого из нас не узнал.	Том махӕй никӕйы нӕ базыдта.
Ты говоришь на воляпюке?	Воляпюкӕйыл дзурыс?
Не тревожьте меня сейчас.	Ныртæккæ мæм ма вналут.
Он жил здесь десять лет назад.	Уый ам царди дæс азы размæ.
Сколько стоит билет до Бостона?	Бостæнмæ билет цас кæны?
Она смотрела, как он ест.	Чызг кæска кодта, лаппу хæргæ куыд кодта уый.
Я беспокоюсь о здоровье Тома.	Ӕз Томы ӕнӕниздзинадыл тыхскӕ кӕнын.
Выбери букву алфавита.	Алфавиты дамгъӕ равзар.
Том купил три билета.	Том балхӕтта ӕртӕ билеты.
Том прихлопнул комара.	Том къогъойы амардта.
У тебя есть я.	Дӕумӕ дӕн ӕз.
Я знаю своё будущее.	Ӕз зонын мæ суинаг.
У меня есть только десять книг.	Мæнмæ ис æрмæстæр дæс чиныгы.
Я полагаю, что вы сидите на моём месте.	Мæнмæ гæсгæ ды мæ бынатыл бадгæ кæныс.
Дай мне фотографию Тома.	Томы къам ма мын æри.
Мэри красится.	Мэри рæсугъд у.
Когда ты возвращаешься в Бостон?	Бостæнмæ фæстæмæ кæд цæус?
Мои уши красные?	Мæ хъустæ сырx 'сты?
Он не ошибся.	Рæдыд не скодта.
Я знаю, что Том говорит правду.	Æз зонын цæмæй Том растдзинад дзуры.
Старый стул скрипнул под его весом.	Зæронд бандон йæ бынмæ ны къæс-къæс кодта.
Это дом, в котором он живет.	Ай у хæдзар кацыйы цæргæ кæны.
Лучше так!	Афтæ хуыздæр у!
Том сказал, что победит.	Том загъта цæмæй рамбулдзæн.
Том теперь бизнесмен.	Том ныр бизнесмен у.
Том опять выиграл?	Том ногӕй рамбылдта?
У меня есть лысина.	Мӕнмӕ гӕмӕх ис.
Я пью кофе после ужина.	Æз нуазын кофе изæры хæрыны фæстæ.
Могла бы и пораньше прийти.	Дæ бон уыди раздæр æрбацæуын.
Я ревнивая.	Æз дæн æхсайгæзæрдæ.
Мы с Томом работаем вместе.	Мах Томимæ иумæ кусæм.
Я буду здесь в понедельник.	Æз ам уыдзынæн къуырисæры.
Она ест, но мало.	Хæргæ кæны, фæлæ гыццыл.
Том - акробат.	Том акробат у.
Тридцати долларов достаточно?	Æртын доллар фаг у?
Я вас уничтожу.	Æз уæ ныммардзынæн.
Том был зол.	Том уыди маст.
Мэри приехала последней.	Мэри фæстаг æрбацыди.
Том рвёт цветы.	Том дидинджыта тоны.
Сколько ещё есть?	Цас ма ис?
Этот нож недостаточно острый.	Ацы кард хорз цыргъ нæу.
Моя левая рука не такая сильная.	Мæ галиу кьух ахæм тыхджын нæу.
Не спрашивай, кто я.	Ма мæ фæрс чи дæн.
Мэри её знает.	Мэри йæ зоны.
США — это республика.	США республикæ у.
Том — колдун.	Том кæлæнгæнæг у.
Том, Мэри, Джон и Элис пришли сюда вместе.	Том, Мэри, Джон æмæ Элис иумæ æрбацыдысты.
Их время ещё не пришло.	Сæ рæстæг нæма æрцыди.
Теперь уходите, пожалуйста.	Ныр, табуафси, ацæут.
Вы его знали?	Зонгæ йæ кодтат?
Я упустил свой шанс.	Ӕз мæ шанс ауахтон.
Он написал эту книгу в возрасте двадцати лет.	Уый ацы чиныг ныффысста дыууын азы йыл куы цыди уæд.
Том свой выбор сделал.	Том йæ æвзврæн скодта.
Найдите синонимы.	Синонимтæ ссарут.
Спускайся оттуда.	Уырдыгæй рахиз.
Мы рисуем животных.	Мах цæрæгойты ныв кæнæм.
Том художник?	Том нывгæнæг у?
Девочки плакали всю дорогу из школы домой.	Чызытæ æнæхьæн фæндаг скъолайæ сæхимæ кæугæ кодтой.
Где твой ресторан?	Дæ ресторан кæм и?
Не открывай его, пожалуйста.	Табуафси, ма йæ байгом кæн.
Том держал руку с пистолетом в кармане.	Том къух дамбацаимæ йæ дзыппы дардта.
Том всегда здесь.	Том алыкæддæр ам ис.
Он не умеет петь.	Уый зарын нæ зоны.
Том ест больше, чем я.	Том мæнæй фылдæр хæры.
Он боялся, что умрёт.	Тæрскæ кодта цæмæй амæлдзан.
Вы должны уйти.	Ды хъуамæ ацæуай.
Я люблю морковь.	Æз уазын уырыдзы.
Больше никто не придёт.	Ничиуал нæ æрбацæудзæн.
У него нет тени.	Аууон æм нæй.
Это дети Адама?	Ацы сывæллæттæ Адамы сты?
Это не свинья; это обезьяна.	Хуы нæу; маймули у.
Том пошёл не один.	Том иунæгæй нæ ацыди.
Я уже знаю, что думает Том.	Æз зонын Том цы хъуыды кæны уый.
Они спят.	Фынæй кæнынц.
Я ещё не поспал.	Фынæй нæма кодтон.
Том плакал как маленький.	Том сывæллоны хуызæн кæугæ кæны.
Том не знает, что ты сделал.	Том нæ зоны цы скодтай уый.
Сколько детей родилось?	Цал сывæлоны райгуырди?
Том летал.	Том тæхгæ кодта.
Я буду их учителем.	Æз сæ ахуыргæнæг уыдзынæн.
Том сказал мне, что он болен.	Том мын загъта цæмæй рынчын у.
Обе мои сестры - учителя.	Мæ дыууæ хойы ахуыргæнджытæ сты.
Я делаю попкорн. Хотите?	Æз попкорн кæнын. Хъæуы уæ?
Я хожу в летнюю школу.	Æз сæрды скъоламæ цæуын.
Это туман?	Ай мигъ у?
Это башня.	Ай мæсыг у.
Не знаю я никакого Тома.	Ницавæр Томы нæ зонын.
Я часто его тут вижу.	Æз æй ам арæх фенын.
Приведи её ко мне.	Мæнмæ йæ æрбакæ.
Прочти эту страницу.	Ацы сыф бакæс.
Ты видел мой фотоаппарат?	Ды мæ фотоаппарат нæ федтай?
Ты ничего не умеешь.	Ды ницы нæ зоныс кæнын.
Ты же вроде в кино собирался?	Ды киномæ нæ цыдтæ?
Напрасно ты ругаешься, мама!	Дзæгьæлы хыл кæныс, нана!
Том левша.	Том галиуæг у.
Сколько времени ты ехал сюда?	Цас рæстæг цыдтæ ардæм?
Том был вооружён ножом.	Том уыд хотыхифтонг кардæй.
Я думала, что поняла тебя.	Мæнмæ гæсгæ, бамбæрстон дæ.
Шоколад даже полезен.	Шиколад хайыргонд у.
Я знаю, что ты вернёшься.	Æз зонын цæмæй фæстæмæ æрбацæудзынæ.
Куда ты хочешь поехать этим летом?	Кæдæм дæ фæнды ацы сæрды ацæуын?
Его губы были бледны.	Йæ былтæ урс-урсид уыдысты.
Принесите мне его голову.	Йæ сæр мын æрбахæссут.
Я газет не читаю.	Æз газеттæ нæ кæсын.
Ну, как прошло?	Цæй цы, куыд уыди?
Ты знаешь, как это пишется?	Нæ зоныс куыд æй хъæуы ныффыссын?
Я не знал, что он ваш брат.	Æз нæ зыдтон ,уый де’фсымæр кæй у уый.
Он старше твоего отца!	Уый дæ фыдæй хистæр у!
Том часто ездит в командировки.	Том тынг арæх фæцæуы командировкæтæм.
Эта куртка мне мала.	Мæнæн ацы къурткæ гæр гыццыл у.
У Тома свой ресторан в Бостоне.	Томæн йæхи хæрæндон ис Бостоны.
Я сказал Тому, чтобы он не плавал слишком долго.	Æз Томæн загътон , цæмæй æгæр рæгмæ ма ленк кæна.
Том робкий.	Том нæуæндар у.
Супруги расстались, но дочь их воссоединила.	Бинойнæгтæ ахицæни сты, фæлæ с
В этом есть и твоя вина.	Уый дæ аххос дæр у.
Том строит новый дом.	Том амайы ног хæдзар.
Вот, берите.	Мæнæ, райсут.
Поэзия не должна быть логичной.	Поэзи логикæджын хъуамæ ма уа.
Как твоя поездка, Том?	Куыд у дæ балц, Том?
Ты это уже делал.	Да ай арæзтай.
Я надеюсь их увидеть.	Ныфс мæ ис уыдоны фенын.
Почему ты остался?	Ды цæмæ баззадтæ?
Том - игрок.	Том хъазæг у.
Том на строгой диете.	Том карз диетæйыл бады.
Том читал Мэри стихи при луне.	Том фарста Мэрийæн æмдзæвгæтæ мæйы рухсмæ.
Я их не критикую.	Æз уыдоны нæ критикæ кæнын.
Том застенчив.	Том æфсæрмдзæстыг у.
Преподаватель отвечает на все наши вопросы.	Ахуыргæнæг дзуапп дæтты нæ фарстатæн.
Мне не нужно сто голов, мне нужно двести рук.	Мæн нæ хъæуы сæдæ сæры, мæн хъæуы дыууæсæдæ къухы.
Я только замещающий учитель.	Æз æрмæст дæр хæдивæг ахуыргæнæг дæн.
Уверяю тебя, что я не нарочно.	Уырнын дæ кæнын , æз барæй нæ уыдтæн.
Все ждут?	Иууылдæр кæсынц æнхъæлмæ?
Покупаю.	Æлхæнын.
Видимо, деньги будут поделены поровну между ними двумя.	Æвæццæгæн æхца æмхуызон адих кæндзысты сæ дыууæйыл.
Мне нравится коллекционировать старые бутылки.	Мæнæн мæ зæрдæмæ цæуы зæронд æрдзытæ коллекци кæнын.
Ты чего такой буйный?	Цæмæн дæ ахæм нæрæмон?
Полночь.	Æмбисæхсæв.
Ты идёшь завтра в школу?	Сом цæудзынæ скъоламæ?
Это точно Том.	Ай æцæг дæр Том у.
Ты когда-нибудь ел мексиканскую пищу?	Ды искуы хордтай мексиканки хæринаг?
Это кукла.	Ай куклæ у.
Том болел.	Том рынцын уыдис.
Я ненавижу эту погоду.	Нæ уарзын ацы боныгъæд.
Ты бежишь.	Лидзгæ кодтай.
Вы боитесь?	Сымах тæрсут?
Ты слишком быстро идёшь.	Гæр тагъд цæуыс.
Выбери один из этих призов.	Ацы лæвæрдтай иу развар.
Вы решили эту загадку?	Ацы уыци-уыци райхæлдтат?
Том утверждал, что ему не заплатили.	Том дзырдта, кæй йын нæ бафыстой уый.
Он разве не был тебе другом?	Дæ æрдхорд куы уыдис?
Наш дом находится в конце следующей улицы.	Махæн нæ хæдзар иннæ уынджы кæрон ис.
Дети хотят слушать одну и ту же историю снова и снова.	Сывæллæтты фæнды æрмæст дæр иу истори мæ хъусын , ноджы æмæ ноджы
Кэн выучил много японских песен наизусть.	Кэн сахуыр кодта бирæ япойнаг зарджытæ зæрдывæрдæй.
Том отправился в путешествие.	Том ацыдис балцы.
Постарайся как следует.	Бацархай куыд æмбæлы афтæ.
Как ты думаешь, что я делал?	Куыд хъуыды кæныс, æз цы арæзтон?
Почему ты ведёшь себя так, будто не знаешь меня?	Дæхи афтæ цæмæ дарыс, цыма мæ нæ зоныс?
Вы идёте по улице.	Сымах уынгыл цæут.
Я сын Тома.	Æз Томы фырт дæн.
Мне отпустить Тома?	Ауадзон Томы?
Эти твои?	Адон дæу сты ?
Я ем фрукт.	Æз дыргъ хæрын.
Наши дела здесь закончены.	Нæ хъуыдтæгтæ ам фесты.
В автобусе она села рядом с ним.	Автобусы æрбадтис йæ цуры.
Я включил отопление.	Æз баиу кодтон тæвдгæнæн.
Отец махнул мне, чтобы я вышел из комнаты.	Мæ фыд мæм йæ къух атылдта, цæмæй годзейнæйæ рахизон.
Покажи.	Равдис
Не переключайтесь.	Ма ахицæн ут.
Пожалуйста, одолжи мне свой нож.	Дæ хорзæхæй, дæ кард ма мæм авæр.
Шум не прекратился.	Хъæлæба нæ банцадис.
Мы здесь, чтобы поговорить.	Мах ам уымæн стæм , цæмæй аныхас кæнæм.
Мне нельзя курицу.	Мæнæн нæй гæнæн карк.
Ты тупой?	Къуырма дæ?
Том сделал выбор.	Том сарæзта йа равзæрст.
Меня уже тошнит от чтения.	Мæ зæрдæ хæццæ кæны чиныг кæсынæй.
Простите, я нечаянно.	Бахатыр кæнут, барæй нæ уыдтæн.
Мы уходим.	Мах цæугæ кæнæм.
Я сегодня не могу пойти с тобой, потому что очень занят.	Мæ бон нæу абон де’мæ ацæуын , тынг æнæвдæлон дæн.
Только что я увидел лису, перебегающую дорогу.	Æз ен тæккæ рувасы федтон, фæндагыл алыгъдис.
Ты жив?	Удгас ма дæ?
Том, если ты не пойдёшь, то и я не пойду.	Том , ды куы нæ ацæуай, уæд æз дæр нæ цæуын.
Том не играет.	Том нæ къазы
Сейчас мой брат в Австралии.	Ерен ме фсымаер ис Австралияйы
Тебе бы уже пора домой.	Афон дын у хæдзармæ
Они простили меня.	Удон мын æй ныххатыр кодтой
Здесь?	Ам?
Я думаю, что он компетентен.	Ыз афтæ хъуыды кæнын, мæ йæ зоны
Придётся мириться, ничего не поделаешь.	Хъæуы бафидауын, ндæр гæнæн нæй
Я не готов идти.	Нæ дæн цæттæ цæуынмæ
Как вы вообще там оказались, да ещё в такое время?	Уым куыд вевзæрдыстут, гæр стæмæй ацафон?
Что должно быть в аптечке первой помощи?	Цы хъомæ уа фыццаг ххуысты аптечкæйы?
Передайте ему, пожалуйста, чтобы он мне перезвонил.	Зæгъ ма йын табуафси, цæмæй мæм радзура
Посветите сюда.	Ардæм ма рбарухс кæн
Я больше люблю жару, чем холод.	ыз фылдæр уарзын хъарм, уазалæй
Том стоит на обочине шоссе и голосует всем проезжающим легковушкам, но никто не останавливается.	Том лæууы фæндагы фарс мæ хъæлæс кæны йæ цуры цæуæг машинатæм, фæлæ ничи лæууы
Это была задача невероятной трудности.	Ацы хæс уыди тынг зын
Она ходит бесшумно.	Уый фæцæуы æнæ уынæрæй.
Мы только вчера получили Ваше письмо.	Мах æрмæстæр знон райстам дæ писмо.
Опять осень.	Фæззæг та ногæй.
Давай скорей! Автобус идёт!	Тагъддæр! Автобус æрбацæуы!
От твоих ног идет неприятный запах.	Дæ къæхтæй æвзæр тæф цæуы.
Почитайте это.	Мæнæ ма ай бакæс.
Ты можешь не отвечать, если не хочешь.	Дæ бон у мæ мын дзуапп ма радтай, кæд дæ нæ фæнды уæд.
Я забыл покормить свою собаку.	Фе’рох мæ ис мæ куыдзæн хæринаг радтын .
А вам всем спать, что ли, не хочется?	Мæ сымахмæ фынæй нæ цæуы?
Одна из девушек осталась позади.	Чызджытæй иу фæстейæ баззадис.
Не будь робким.	Нæуæндаг ма у.
Будьте благоразумны.	Æмбаргæ дæр ут.
Твоя собака там.	Дæ куыдз уым и.
Я не буду носить это платье.	Æз нæ дардзынæн ацы къаба.
В самом деле?	Æцæгæй?
Я с ним знаком, но имени его не знаю.	Мæ зонгæ у, фæлæ йæ ном нæ зонын.
Мы видели, как Том плачет.	Мах федтам Том кæугæ куыд кæны уый.
Мы все тебя любим.	Мах дæ уарзæм.
Я часто её тут вижу.	Æз æй ам арæх фенын.
Мои мать и отец родились в Бостоне.	Мæ мад æмæ мæ фыд Бостоны райгуырдысты.
Где жила Мэри, когда была ребёнком?	Кæм царди Мэри сывæллон куы уыди уæд?
Том работает в Бостоне.	Том Бостæны кусы.
Вы знаете, куда Том идёт?	Нæ зонут, кæдæм цæуы Том?
Вы можете быстро бегать?	Дæ бон у тагъд лидзын?
У Тома нет ни одного ребёнка.	Томæн иунæг сывæллон дæр нæй.
Когда состоится её свадьба?	Йæ чындзæхсæв кæд уыдзæн?
Том — отец невесты.	Том усагы фыд у.
Том написал своё имя.	Том йæ ном ныффыста.
Зелёный такой есть?	Ахæм цъæхæй ис?
Мне двенадцать.	Мæнæн дыууадæс азы у.
Он весь день плакал.	Уый æнæхъæн бон кæугæ кодта.
Он её боится.	Тæрскæ йæ кæны.
Я не люблю сырую рыбу.	Æз нæ уарзын хом кæсаг.
Вы его не видели.	Нæ йæ федтат?
Он сел в машину.	Машинæйы сбадти.
Том ездил с вами в Бостон?	Том смахимм Бостонмæ цыди?
Том строит домик из спичек.	Том спичкæтæй хæдзар аразы.
Я знаю, что вы едите.	Æз зонын цы хæрут уый.
Я не люблю грибы.	Æз къозотæ нæ уарзын.
Я проснулся в четыре.	Æз цыппар сахатыл райхъал дæн.
Мы домой.	Мах нæхимæ.
Она рано приходит.	Чызг раджы æрбацæуы.
Можешь съесть.	Дæ бон у бахæрын.
Том продолжал задавать мне вопросы.	Том адарддæр кодта йæ фарстатæ дæдтын.
Я сварю тебе бобы.	Æз дын афыцынæн сойæтæ.
Я перекусил.	Æз ацаходын кодтон.
Мы с Томом побежали.	Томимæ алыгъдыстæм.
Том прочитал это вслух.	Том хъæрæй бакастис.
Том ест?	Том хæргæ кæны?
Том хотел поужинать в постели.	Томы фæндыдис æхсæвæр бахæрын хуыссæнуатыл.
То, что он говорил, оказывалось ложью.	уый цы та дзырдта,уыдон раст нæ уыдысты.
Том поехал.	Том ацыдис.
Да?	Ойы?
Спасибо, что пришли встретить меня.	Бузныг ,кæй рацыдыстут мæ размæ.
Том купил камеру, чтобы подарить её Мэри.	Том камерæ балхæдта, цæмæй йæ Мэрийæн балæвар кæна.
Я умираю?	Æз мæлгæ кæнын?
Я хотел купить книгу, чтобы читать в самолёте.	Мæн фæндыдис чиныг балхæнын , цæмæй йæ хæдтæхæгыл кæсон.
Она была очень удивлена, когда услышала эту новость.	Тынг дис кодта , куы фе'хъуыста уыцы хабæрттæ, уæд.
Мне немного помогли.	Мæнæн гыццыл аххуыс кодтой.
Я переел.	Фе'алгъæд дæн.
Как эта дорожная авария произошла?	Куыд æрцыдис уыцы фæндаггаг авари?
Я с Томом.	Æз Томимæ дæн.
Когда Том был подростком, он любил писать стихи.	Том æнахъом куы уыдис, уæд æмдзæвгæтæ фыста.
Я уже знаю.	Æз зонын.
Как долго будет эта холодная погода длиться?	Кæдмæ ма уыдзæнис ацы уазал боныгъæд?
Тебе звонил Том.	Том дæм дзырдта.
Где ты впервые встретил её?	Кæм æй федтай фыццыг хатт?
Мой сын слепой.	Мæ лæппу куырм у
Приехали.	Æрбацыдысты.
Под столом лежит корзина.	Столы бын ис къалати.
Я вернулась.	Æз фæстæмæ æрбацыдтæн.
Я не ворую.	Æз давгæ нæ кæнын.
Том забывчив.	Том рохгæнаг у.
Ты когда-нибудь ел помидоры с сахаром?	Искуы хордтай помидор сæкæримæ?
Что Вы сказали?	Цы загътат?
Я пришёл извиниться.	Æз æрбацыдтæн хатыр курынмæ.
Том - красавец.	Том-рæсугъд лæппу у.
Я совершенно счастлив.	Æз бынтон амондджын дæн.
Слушайте.	Хъусут.
Работает?	Кусут?
Уже 11 часов.	Иууæндæс сахат у.
Ты уверена, что не хочешь сегодня вечером прийти?	Ныфс дæ ис, æмæ изæры не рбацæудзæ?
Что вы едите? Пахнет очень вкусно.	Цы хæрут ? Тынг адджын тæф кæны.
Разве так честно?	Мыййаг афтæ раст у?
Они идут сюда.	Уыдон цæуынц ардæм.
Заказываем?	Заказ кæнæм?
Было темно.	Талынг уыдис.
Не устал?	Нæбафæладтæ?
Нам нужен холодильник побольше.	Мах хъæуы фылдæр уазалгæнæг.
Что я должен изменить?	Цы хъомæ фæивон?
Почему ты так хорошо говоришь по-английски?	Цæмæ дзурыс англисаг æвзагыл автæ дзæбæх.?
Так приятно наконец познакомиться с Вами!	Тынг æхсызгон мын у сымахимæ базонгæ кæнын.
Родители Тома из Австралии.	Томæ йе рвад сты Австралияйæ
Садись сюда.	Ам æрбад.
Посторонись!	Иуварс!
В апреле мы поедем в Лондон.	Хымгæнæны мæйы цæуæм Лодонмæ
Жить не легко.	Цæрын æнцон нæу.
Это книга.	Чиныг.
Если смогу, завтра тоже приду.	Кæд мæ бон суыдзæнис , уæд сом дæр æрбацæудзынæн.
Где ты был?	Кæм уыдтæ?
Кому ты написал письмо?	Кæмæн ныффыстæй писмо?
Ты как, Том, сильно проголодался?	Куыд дæ , Том, тынг стонг дæ?
Не упрекай себя.	Дæхи ма æфхæр.
Замолчите!	Банцайут!
Поезжайте без меня.	Æнæ мæн ацыт.
Теплее.	Хъарм дæр у.
У меня не получилось.	Нæ мын рауадис.
Можешь идти.	Дæ бон у мæ ацæуай.
Том ушёл.	Том ацыдис.
Я нечасто улыбаюсь.	Ыз арæх нæ худын
Когда?	Кæд?
Сколько цветов в вазе?	Цас дидинджытæ ис вазæйы?
Отвечать?	Дзуапп дæттын?
Откуда вы?	Кæцæй стут?
Вы спали.	Фынæй кодтат.
Он собрал свои книги.	Æртымбыл кодта йæ чингуытæ.
Не подпускай их к себе.	Дæхимæ сæ æвахс ма уадз.
Мне нужно покормить кота.	Мæ гæдыйæн мын хæринаг раттын хъæуы.
Том, вероятно, знает ответ.	Том æвæццæгæн зоны раст дзуапп.
Почему он не возвращается?	Фæстæмæ цæмæнæ здæхы?
Сами обвинил Лейлу в том, что она бросила в его окно кирпич.	Сæхæдæг Лейлæйы аххосджын фæкодтой , йæ рудзынгыл агуыридур кæй фæкодта уый тыххæй.
Как зовут вашу кошку?	Уæ гæдыйы ном куыд хуыйны?
Том не спешит продавать свой автомобиль.	Том йæ машинæ уæй кæнын мæ нæ тагъд кæны.
Вы Тома даже не знаете.	Сымах Томы зонгæ дæр нæ кæнут.
Завтра я буду дома.	Сом хæдзары уыдзынæн.
У меня есть время в понедельник.	Къуырисæры мын ис рæстæг.
Я сегодня свободен.	Æз абон сæрибар дæн.
У Тома достаточно денег, чтобы купить всё, что ему хочется.	Том мæ фаг æхца ис , цæмæй балхæна цы йæ хъаеуы уый.
Меня никто не найдёт.	Мæн ничи не’ссардзæн.
Это вражеская страна.	Знаджы бæстæ.
Я дома каждый вечер.	Æз алы изæр дæр хæдзары вæййын.
Я приготовил для них ужин.	Æз уын æхсæвæр рцæдтæ кодтон.
Поторапливайся!	Фæтагъд кæн!
Наконец!	Кæдæй-уæдæй!
Пошли.	Ацыдыстæм.
Класс!	Кълас.
Жалко.	Æвгъау.
Ой...	Уой.
Вставай.	Слæуу.
Выкладывай.	Радзур.
Начинайте!	Райдаут!
Да.	Ойы.
Нет.	Нæйы.
Увидим.	Фендзыстæм.
Спите?	Фынæй кæнут?
Начали!	Райдыдтам!
Отдохнём.	Баулæфæм.
Отлично!	Тынг хорз.
Бывает.	Вæййы.
Смешно!	Худæг!
Весна.	Уалдзæг.
Тоска.	Мысын.
Легко.	Æнцон.
Идиот!	Сæрхъæн.
Почему?	Цæмæ?
Оставь!	Ныууадз !
Умри!	Амæл!
Почти.	Зæгъæн ис.
Чёрт!	Хæйрæг!
Быстрей!	Тагъддæр!
Мне бы очень хотелось поехать туда с вами.	Мæн тынг фæнды ,цæмæй уырдæм сымахимæ ацæуон.
Неправильно!	Раст нæу!
Том ничего не понимал.	Том ницы æмбæрста.
Дождь длился четыре дня.	Цыппар бон къæвдатæ уыдис.
Том хочет, чтобы я попросил прощения.	Томы фæнды, цæмæй дзы хатыртæ ракурон.
Ты наелся?	Бафсæсдтæ?
Что ещё Тому нужно сделать?	Томæн ма цы хъæуы саразын?
Потрачено!	Бахардз ис!
Берегись.	Дæхи хъахъхъæн.
Прощайтесь.	Хæрзбон зæгъут.
Постой!	Фæлæу!
Постойте!	Фæлæут!
Проголодались?	Сыстонг стут ?
Трепет...	Рызт.
Поправляйся.	Дзæбæх кæн.
Помалкивай.	Дæ дзыхыл хæц.
Помалкивайте.	Уæ дзыхтыл хæцут.
Выезжаю!	Фæцæуын!
Смелее!	Хъæбатыр дæр у!
Проклятие!	Æлгъыст!
Запевай!	Зарын райдайут!
Отпусти!	Ауадз.
Ступайте.	Ацæут.
Соскучился?	Рымысыдтæ?
Спс!	Бузныг!
Крыса!	Уыры !
Сколько лет ты училась в университете?	Цал азы университеты ахуыр кодтай?
Что нам Том дал?	Цы нын радта Том?
Мне кажется, это его машина.	Мæнмæ гæсгæ ай йæ машинæ у.
Где он купил это пальто?	Кæм балхæдта ацы пальто?
Перерыв!	Фæурæд.
Догоняй!	Æййафмæ!
Догоняйте!	Æййафутмæ!
Стыдно?	Худинаг у?
Когда ужин?	Æхсæвæр кæд у?
Кто у вас адвокат?	Адвокат уын чи у ?
Мы много времени тратим зря.	Бирæ рæстæг дзæгъæлы сафæм .
Я ничего не говорила.	Æз ницы дзырдтон.
Том очень расстроится, когда узнает, что произошло.	Томæн тынг хъыг уыдзæнис, куы йæ базона цы рцыдис уый.
Ты знаешь, какого цвета у Тома машина?	Зоныс Томæн йæ машинæ цы хуызон у?
Я рад, что могу вам помочь.	Тынг æхсызгон мын у , мæ бон уын кæй баххуыс кæнын уый .
Мне приснилась Татоэба.	Фыны Татоэбæйы федтон.
Удивительно, что ты меня помнишь.	Диссаг, кæй мæ хъуыды кæныс.
Вам нужны друзья.	Сымах хъæуы æмгæрдтæ.
Ты всё делаешь мне назло.	Ды мæнæн алцыдæр фыдæнæн аразыс.
Давайте разделим деньги!	Цæйут адих кæнæм хцатæ!
Я немного ревную.	Гыццыл мæ зæрдæ хсайы.
Ты выздоровела.	Адзæбæх дæ.
Нам следует читать как можно больше книг.	Махæн хъæуы фылдæр чингуытæ кæсын.
Я толстая.	Æз тыппыр дæн.
Я ничуть не устал.	Æз иу гыццыл дæр нæ бафæладтæн.
Одевайтесь!	Уæ дзаумæтæ скæнут
Расскажи мне, что ты знаешь о ситуации.	Радзур ма мын , цы зоныс уыцы хабары тыххæй.
Держите.	Хæцут.
Я в этом силён.	Æз уым тыхджын дæн.
Кто для тебя Том?	Том дын чи у ?
Перейди мост.	Хидæй ахиз.
Забудь об этом!	Фе’рохæй кæн!
Дело не в том, что ты носишь, а как ты это носишь.	Хъуыддаг уый мидæг нæй , цы дарыс , фæлæ йæ куыд дарыс.
Рано или поздно Том это поймёт.	Раджы æви рæгмæ Том бамбардзæнис.
Рано.	Раджы.
Посмотри назад.	Фæстæмæ акæс.
Ты до скольких лет верил в Деда Мороза?	Цал аз мæ дæ уырныдта Митын Дада ?
Пожалуйста, подождите немного.	Табуафси, гыццыл ма фæлæуут.
Завтра мой папа приготовит вкусную еду.	Сом мæ фыд æрцæттæ кæндзæнис адджын хæринаг.
Я регулярно бегаю в парке.	Æз уысмæн фæлидзын паркмæ.
